iter	Accuracy	Logloss	MCC	Precision	Recall	F1
0	0.6732673267	0.6870058622	0.3171521647	0.6794258373	0.816091954	0.7415143603
1	0.7062706271	0.6781931951	0.3892971391	0.7033492823	0.8448275862	0.7676240209
2	0.7194719472	0.6702989089	0.4189760656	0.7089201878	0.867816092	0.7803617571
3	0.7260726073	0.6602015889	0.435047402	0.7096774194	0.8850574713	0.7877237852
4	0.7425742574	0.654170187	0.4689717248	0.7285714286	0.8793103448	0.796875
5	0.7458745875	0.6490497179	0.4794609339	0.7235023041	0.9022988506	0.8030690537
6	0.7392739274	0.6417269639	0.4657892257	0.7168949772	0.9022988506	0.7989821883
7	0.7524752475	0.6353554	0.4942654446	0.7281105991	0.908045977	0.8081841432
8	0.7557755776	0.6272272271	0.499849327	0.7336448598	0.9022988506	0.8092783505
9	0.7689768977	0.622924564	0.5268588549	0.7476190476	0.9022988506	0.8177083333
10	0.7656765677	0.6167114228	0.5201219921	0.7440758294	0.9022988506	0.8155844156
11	0.7689768977	0.6127501993	0.5279362567	0.7452830189	0.908045977	0.8186528497
12	0.7689768977	0.6083665646	0.5279362567	0.7452830189	0.908045977	0.8186528497
13	0.7623762376	0.6034009913	0.5133754807	0.7405660377	0.9022988506	0.8134715026
14	0.7755775578	0.598720286	0.5438128527	0.7476635514	0.9195402299	0.824742268
15	0.7656765677	0.5941716631	0.521225316	0.7417840376	0.908045977	0.8165374677
16	0.7788778878	0.5887336264	0.5504393875	0.7511737089	0.9195402299	0.826873385
17	0.7755775578	0.5818954674	0.5424970328	0.75	0.9137931034	0.8238341969
18	0.7788778878	0.5786054077	0.5491533937	0.7535545024	0.9137931034	0.825974026
19	0.7821782178	0.5731531971	0.55580242	0.7571428571	0.9137931034	0.828125
20	0.7854785479	0.5703497846	0.5624450777	0.7607655502	0.9137931034	0.8302872063
21	0.801980198	0.5652061105	0.5978569394	0.7740384615	0.9252873563	0.8429319372
22	0.8052805281	0.5605485635	0.6044084823	0.7777777778	0.9252873563	0.845144357
23	0.8151815182	0.5526279128	0.625265731	0.786407767	0.9310344828	0.8526315789
24	0.8151815182	0.5502058995	0.625265731	0.786407767	0.9310344828	0.8526315789
25	0.8184818482	0.5473379512	0.6317766955	0.7902439024	0.9310344828	0.8548812665
26	0.8151815182	0.5425167774	0.625265731	0.786407767	0.9310344828	0.8526315789
27	0.8085808581	0.5388863415	0.6098265756	0.7843137255	0.9195402299	0.8465608466
28	0.8052805281	0.5339231555	0.6032393761	0.7804878049	0.9195402299	0.8443271768
29	0.8085808581	0.5314286176	0.6098265756	0.7843137255	0.9195402299	0.8465608466
30	0.8151815182	0.5291984064	0.624057741	0.7892156863	0.9252873563	0.8518518519
31	0.8250825083	0.5239354788	0.6437164918	0.8009950249	0.9252873563	0.8586666667
32	0.8184818482	0.521196614	0.6306085082	0.7931034483	0.9252873563	0.8541114058
33	0.8283828383	0.5170563924	0.6502753151	0.805	0.9252873563	0.8609625668
34	0.8217821782	0.5136998308	0.6371611558	0.797029703	0.9252873563	0.8563829787
35	0.8151815182	0.5094665043	0.623002019	0.7920792079	0.9195402299	0.8510638298
36	0.8118811881	0.5052287465	0.6154673648	0.7910447761	0.9137931034	0.848
37	0.8217821782	0.4986083977	0.6371611558	0.797029703	0.9252873563	0.8563829787
38	0.8250825083	0.4957955947	0.6448031727	0.7980295567	0.9310344828	0.8594164456
39	0.8283828383	0.4946914166	0.652520072	0.7990196078	0.9367816092	0.8624338624
40	0.8349834983	0.4862727431	0.6654794294	0.8069306931	0.9367816092	0.8670212766
41	0.8316831683	0.4842323342	0.6568384157	0.8090452261	0.9252873563	0.8632707775
42	0.8382838284	0.4823646575	0.6731925016	0.8078817734	0.9425287356	0.8700265252
43	0.8415841584	0.4785015281	0.6796385661	0.8118811881	0.9425287356	0.8723404255
44	0.8448844884	0.4743550741	0.6860901822	0.815920398	0.9425287356	0.8746666667
45	0.8514851485	0.4712051751	0.6990130375	0.824120603	0.9425287356	0.8793565684
46	0.8547854785	0.4685570811	0.7054857453	0.8282828283	0.9425287356	0.8817204301
47	0.8646864686	0.4634884129	0.7249576891	0.841025641	0.9425287356	0.8888888889
48	0.8679867987	0.4607427856	0.7314686675	0.8453608247	0.9425287356	0.8913043478
49	0.8712871287	0.457896725	0.737244919	0.8534031414	0.9367816092	0.8931506849
50	0.8910891089	0.4546317394	0.7774028502	0.8770053476	0.9425287356	0.9085872576
51	0.8877887789	0.4519627071	0.7703147934	0.876344086	0.9367816092	0.9055555556
52	0.8877887789	0.4496951296	0.7703147934	0.876344086	0.9367816092	0.9055555556
53	0.8877887789	0.4477465031	0.7703147934	0.876344086	0.9367816092	0.9055555556
54	0.8910891089	0.4436762945	0.777986067	0.873015873	0.9482758621	0.9090909091
55	0.8943894389	0.4414496951	0.7845521301	0.8776595745	0.9482758621	0.9116022099
56	0.900990099	0.4394561065	0.7990406005	0.8789473684	0.9597701149	0.9175824176
57	0.897689769	0.4373858008	0.79113452	0.8823529412	0.9482758621	0.9141274238
58	0.900990099	0.4345004925	0.7977339279	0.8870967742	0.9482758621	0.9166666667
59	0.900990099	0.4325806098	0.7977339279	0.8870967742	0.9482758621	0.9166666667
60	0.9075907591	0.4303059405	0.8114434952	0.8924731183	0.9540229885	0.9222222222
61	0.904290429	0.4281753236	0.8043510459	0.8918918919	0.9482758621	0.9192200557
62	0.9075907591	0.4258731896	0.8109865674	0.8967391304	0.9482758621	0.9217877095
63	0.904290429	0.4242699232	0.8043510459	0.8918918919	0.9482758621	0.9192200557
64	0.9141914191	0.4220749704	0.8243156049	0.9065934066	0.9482758621	0.9269662921
65	0.9141914191	0.4205855038	0.8243156049	0.9065934066	0.9482758621	0.9269662921
66	0.9174917492	0.4196652899	0.8312888097	0.9071038251	0.9540229885	0.9299719888
67	0.9141914191	0.4157828012	0.8246541201	0.902173913	0.9540229885	0.9273743017
68	0.9207920792	0.4130272043	0.8388626297	0.9032258065	0.9655172414	0.9333333333
69	0.9207920792	0.4109581994	0.8388626297	0.9032258065	0.9655172414	0.9333333333
70	0.9207920792	0.4080792262	0.8388626297	0.9032258065	0.9655172414	0.9333333333
71	0.9174917492	0.4032891058	0.8323295294	0.8983957219	0.9655172414	0.9307479224
72	0.9207920792	0.4000312486	0.8388626297	0.9032258065	0.9655172414	0.9333333333
73	0.9207920792	0.3982830497	0.8383216728	0.9076086957	0.9597701149	0.9329608939
74	0.9240924092	0.3967552557	0.8454156402	0.9081081081	0.9655172414	0.9359331476
75	0.9240924092	0.3955421314	0.8454156402	0.9081081081	0.9655172414	0.9359331476
76	0.9240924092	0.3943702554	0.8454156402	0.9081081081	0.9655172414	0.9359331476
77	0.9207920792	0.3916018547	0.8388626297	0.9032258065	0.9655172414	0.9333333333
78	0.9240924092	0.3905507169	0.8454156402	0.9081081081	0.9655172414	0.9359331476
79	0.9207920792	0.3874634959	0.8388626297	0.9032258065	0.9655172414	0.9333333333
80	0.9240924092	0.3849910662	0.8454156402	0.9081081081	0.9655172414	0.9359331476
81	0.9240924092	0.3836737999	0.8454156402	0.9081081081	0.9655172414	0.9359331476
82	0.9273927393	0.3814402194	0.8519892255	0.9130434783	0.9655172414	0.938547486
83	0.9273927393	0.3780320411	0.8519892255	0.9130434783	0.9655172414	0.938547486
84	0.9273927393	0.376132601	0.8519892255	0.9130434783	0.9655172414	0.938547486
85	0.9372937294	0.3735091208	0.871840126	0.9281767956	0.9655172414	0.9464788732
86	0.9372937294	0.3722731346	0.871840126	0.9281767956	0.9655172414	0.9464788732
87	0.9372937294	0.3709918747	0.871840126	0.9281767956	0.9655172414	0.9464788732
88	0.9372937294	0.369755005	0.871840126	0.9281767956	0.9655172414	0.9464788732
89	0.9339933993	0.3681662841	0.8652007953	0.9230769231	0.9655172414	0.9438202247
90	0.9339933993	0.3669474736	0.8652007953	0.9230769231	0.9655172414	0.9438202247
91	0.9372937294	0.3637956545	0.871840126	0.9281767956	0.9655172414	0.9464788732
92	0.9372937294	0.3621872339	0.871840126	0.9281767956	0.9655172414	0.9464788732
93	0.9372937294	0.3614474312	0.871840126	0.9281767956	0.9655172414	0.9464788732
94	0.9372937294	0.3598110733	0.871840126	0.9281767956	0.9655172414	0.9464788732
95	0.9372937294	0.358271706	0.871840126	0.9281767956	0.9655172414	0.9464788732
96	0.9339933993	0.356961728	0.8649106944	0.9277777778	0.9597701149	0.9435028249
97	0.9405940594	0.3530301219	0.8785027249	0.9333333333	0.9655172414	0.9491525424
98	0.9405940594	0.3509671495	0.8785027249	0.9333333333	0.9655172414	0.9491525424
99	0.9405940594	0.3492043473	0.8783420769	0.9382022472	0.9597701149	0.9488636364
100	0.9405940594	0.347338577	0.8783420769	0.9382022472	0.9597701149	0.9488636364
101	0.9372937294	0.3450286527	0.8715518445	0.9378531073	0.9540229885	0.9458689459
102	0.9372937294	0.3430172848	0.8715518445	0.9378531073	0.9540229885	0.9458689459
103	0.9372937294	0.3413267184	0.8715518445	0.9378531073	0.9540229885	0.9458689459
104	0.9372937294	0.3403851748	0.8715518445	0.9378531073	0.9540229885	0.9458689459
105	0.9372937294	0.3384755801	0.8715518445	0.9378531073	0.9540229885	0.9458689459
106	0.9405940594	0.3380280495	0.8783447168	0.9431818182	0.9540229885	0.9485714286
107	0.9438943894	0.3368223764	0.8851892758	0.938547486	0.9655172414	0.9518413598
108	0.9471947195	0.3354783787	0.8919004675	0.9438202247	0.9655172414	0.9545454545
109	0.9504950495	0.3326361846	0.8987641493	0.9441340782	0.9712643678	0.9575070822
110	0.9504950495	0.3318862149	0.8987641493	0.9441340782	0.9712643678	0.9575070822
111	0.9504950495	0.331310263	0.8987641493	0.9441340782	0.9712643678	0.9575070822
112	0.9504950495	0.3300250111	0.8987641493	0.9441340782	0.9712643678	0.9575070822
113	0.9537953795	0.3285075739	0.9054588581	0.9494382022	0.9712643678	0.9602272727
114	0.9504950495	0.3266816136	0.8986369941	0.9491525424	0.9655172414	0.9572649573
115	0.9504950495	0.3256236212	0.8986369941	0.9491525424	0.9655172414	0.9572649573
116	0.9537953795	0.324189509	0.9054588581	0.9494382022	0.9712643678	0.9602272727
117	0.9504950495	0.322309716	0.8986369941	0.9491525424	0.9655172414	0.9572649573
118	0.9537953795	0.3207644241	0.9054588581	0.9494382022	0.9712643678	0.9602272727
119	0.9570957096	0.3191600366	0.9121795689	0.9548022599	0.9712643678	0.962962963
120	0.9570957096	0.3173587308	0.9121795689	0.9548022599	0.9712643678	0.962962963
121	0.9570957096	0.316299462	0.9121795689	0.9548022599	0.9712643678	0.962962963
122	0.9570957096	0.3150869163	0.9121795689	0.9548022599	0.9712643678	0.962962963
123	0.9570957096	0.3142279847	0.9121795689	0.9548022599	0.9712643678	0.962962963
124	0.9570957096	0.3136775	0.9121795689	0.9548022599	0.9712643678	0.962962963
125	0.9570957096	0.311767573	0.9121795689	0.9548022599	0.9712643678	0.962962963
126	0.9570957096	0.310575477	0.9121795689	0.9548022599	0.9712643678	0.962962963
127	0.9570957096	0.3098273032	0.9121795689	0.9548022599	0.9712643678	0.962962963
128	0.9570957096	0.3076482104	0.9121795689	0.9548022599	0.9712643678	0.962962963
129	0.9570957096	0.3066561526	0.9121795689	0.9548022599	0.9712643678	0.962962963
130	0.9570957096	0.3060092738	0.9121795689	0.9548022599	0.9712643678	0.962962963
131	0.9570957096	0.3051180535	0.9121795689	0.9548022599	0.9712643678	0.962962963
132	0.9570957096	0.3039390462	0.9121795689	0.9548022599	0.9712643678	0.962962963
133	0.9570957096	0.3019184494	0.9121795689	0.9548022599	0.9712643678	0.962962963
134	0.9570957096	0.3005335732	0.9121795689	0.9548022599	0.9712643678	0.962962963
135	0.9570957096	0.2993315647	0.9121795689	0.9548022599	0.9712643678	0.962962963
136	0.9570957096	0.2967232184	0.9121795689	0.9548022599	0.9712643678	0.962962963
137	0.9570957096	0.2951817212	0.9121795689	0.9548022599	0.9712643678	0.962962963
138	0.9570957096	0.2939875381	0.9121795689	0.9548022599	0.9712643678	0.962962963
139	0.9570957096	0.292693788	0.9121795689	0.9548022599	0.9712643678	0.962962963
140	0.9570957096	0.2921718645	0.9121795689	0.9548022599	0.9712643678	0.962962963
141	0.9570957096	0.2893472187	0.9121795689	0.9548022599	0.9712643678	0.962962963
142	0.9570957096	0.28731844	0.9121795689	0.9548022599	0.9712643678	0.962962963
143	0.9570957096	0.28678234	0.9121795689	0.9548022599	0.9712643678	0.962962963
144	0.9603960396	0.2852056929	0.9190172487	0.9550561798	0.9770114943	0.9659090909
145	0.9603960396	0.2842712116	0.9190172487	0.9550561798	0.9770114943	0.9659090909
146	0.9603960396	0.2825521671	0.9190172487	0.9550561798	0.9770114943	0.9659090909
147	0.9603960396	0.2817697361	0.9190172487	0.9550561798	0.9770114943	0.9659090909
148	0.9603960396	0.2800763526	0.9190172487	0.9550561798	0.9770114943	0.9659090909
149	0.9603960396	0.2786139735	0.9190172487	0.9550561798	0.9770114943	0.9659090909
150	0.9603960396	0.2772969912	0.9190172487	0.9550561798	0.9770114943	0.9659090909
151	0.9603960396	0.2757753226	0.9190172487	0.9550561798	0.9770114943	0.9659090909
152	0.9603960396	0.2738369742	0.9190172487	0.9550561798	0.9770114943	0.9659090909
153	0.9603960396	0.2716298174	0.9190172487	0.9550561798	0.9770114943	0.9659090909
154	0.9603960396	0.2701275374	0.9190172487	0.9550561798	0.9770114943	0.9659090909
155	0.9603960396	0.2693837178	0.9190172487	0.9550561798	0.9770114943	0.9659090909
156	0.9603960396	0.2684911882	0.9190172487	0.9550561798	0.9770114943	0.9659090909
157	0.9603960396	0.2672140844	0.9190172487	0.9550561798	0.9770114943	0.9659090909
158	0.9603960396	0.2661862924	0.9190172487	0.9550561798	0.9770114943	0.9659090909
159	0.9603960396	0.2655600856	0.9190172487	0.9550561798	0.9770114943	0.9659090909
160	0.9603960396	0.2649838269	0.9190172487	0.9550561798	0.9770114943	0.9659090909
161	0.9603960396	0.2643653305	0.9190172487	0.9550561798	0.9770114943	0.9659090909
162	0.9603960396	0.2631462227	0.9190172487	0.9550561798	0.9770114943	0.9659090909
163	0.9603960396	0.2618201939	0.9190172487	0.9550561798	0.9770114943	0.9659090909
164	0.9603960396	0.2607182644	0.9190172487	0.9550561798	0.9770114943	0.9659090909
165	0.9603960396	0.2598833866	0.9190172487	0.9550561798	0.9770114943	0.9659090909
166	0.9603960396	0.2586183605	0.9190172487	0.9550561798	0.9770114943	0.9659090909
167	0.9603960396	0.2573567887	0.9190172487	0.9550561798	0.9770114943	0.9659090909
168	0.9603960396	0.2563217692	0.9190172487	0.9550561798	0.9770114943	0.9659090909
169	0.9603960396	0.2557178379	0.9190172487	0.9550561798	0.9770114943	0.9659090909
170	0.9603960396	0.2540649179	0.9190172487	0.9550561798	0.9770114943	0.9659090909
171	0.9603960396	0.2531605326	0.9190172487	0.9550561798	0.9770114943	0.9659090909
172	0.9603960396	0.2526295184	0.9190172487	0.9550561798	0.9770114943	0.9659090909
173	0.9603960396	0.2515796458	0.9190172487	0.9550561798	0.9770114943	0.9659090909
174	0.9570957096	0.2492497759	0.9121795689	0.9548022599	0.9712643678	0.962962963
175	0.9570957096	0.2479512182	0.9121795689	0.9548022599	0.9712643678	0.962962963
176	0.9570957096	0.2471002768	0.9121795689	0.9548022599	0.9712643678	0.962962963
177	0.9570957096	0.2456841758	0.9121795689	0.9548022599	0.9712643678	0.962962963
178	0.9570957096	0.2450216675	0.9121795689	0.9548022599	0.9712643678	0.962962963
179	0.9603960396	0.2439768708	0.918926975	0.9602272727	0.9712643678	0.9657142857
180	0.9636963696	0.2424058995	0.9257017758	0.9657142857	0.9712643678	0.9684813754
181	0.9636963696	0.2415103753	0.9257017758	0.9657142857	0.9712643678	0.9684813754
182	0.9603960396	0.2401113453	0.918926975	0.9602272727	0.9712643678	0.9657142857
183	0.9603960396	0.2387999551	0.918926975	0.9602272727	0.9712643678	0.9657142857
184	0.9603960396	0.2379930485	0.918926975	0.9602272727	0.9712643678	0.9657142857
185	0.9603960396	0.2360070084	0.918926975	0.9602272727	0.9712643678	0.9657142857
186	0.9636963696	0.2343230589	0.9257017758	0.9657142857	0.9712643678	0.9684813754
187	0.9669966997	0.2339405353	0.9324543944	0.9659090909	0.9770114943	0.9714285714
188	0.9636963696	0.2325229968	0.9257017758	0.9657142857	0.9712643678	0.9684813754
189	0.9669966997	0.2308791358	0.9324543944	0.9659090909	0.9770114943	0.9714285714
190	0.9669966997	0.2301698426	0.9324543944	0.9659090909	0.9770114943	0.9714285714
191	0.9669966997	0.2280451477	0.9324543944	0.9659090909	0.9770114943	0.9714285714
192	0.9669966997	0.2275216535	0.9324543944	0.9659090909	0.9770114943	0.9714285714
193	0.9669966997	0.2269366381	0.9324543944	0.9659090909	0.9770114943	0.9714285714
194	0.9669966997	0.2259762713	0.9324543944	0.9659090909	0.9770114943	0.9714285714
195	0.9702970297	0.2248166358	0.9392647186	0.9661016949	0.9827586207	0.9743589744
196	0.9702970297	0.2238560283	0.9392647186	0.9661016949	0.9827586207	0.9743589744
197	0.9702970297	0.2230487274	0.9392647186	0.9661016949	0.9827586207	0.9743589744
198	0.9702970297	0.2221857742	0.9392647186	0.9661016949	0.9827586207	0.9743589744
199	0.9702970297	0.220574018	0.9392647186	0.9661016949	0.9827586207	0.9743589744
200	0.9702970297	0.2199787715	0.9392647186	0.9661016949	0.9827586207	0.9743589744
201	0.9702970297	0.2194433008	0.9392647186	0.9661016949	0.9827586207	0.9743589744
202	0.9702970297	0.2175258321	0.9392647186	0.9661016949	0.9827586207	0.9743589744
203	0.9702970297	0.2168476275	0.9392647186	0.9661016949	0.9827586207	0.9743589744
204	0.9702970297	0.2144684185	0.9392647186	0.9661016949	0.9827586207	0.9743589744
205	0.9702970297	0.2136893855	0.9392647186	0.9661016949	0.9827586207	0.9743589744
206	0.9702970297	0.2123691418	0.9392647186	0.9661016949	0.9827586207	0.9743589744
207	0.9702970297	0.2108558985	0.9392647186	0.9661016949	0.9827586207	0.9743589744
208	0.9702970297	0.2102351849	0.9392647186	0.9661016949	0.9827586207	0.9743589744
209	0.9702970297	0.2091359298	0.9392647186	0.9661016949	0.9827586207	0.9743589744
210	0.9702970297	0.2081271853	0.9392647186	0.9661016949	0.9827586207	0.9743589744
211	0.9702970297	0.2075909207	0.9392647186	0.9661016949	0.9827586207	0.9743589744
212	0.9702970297	0.2070462208	0.9392647186	0.9661016949	0.9827586207	0.9743589744
213	0.9702970297	0.2064311634	0.9392647186	0.9661016949	0.9827586207	0.9743589744
214	0.9702970297	0.2048192785	0.9392647186	0.9661016949	0.9827586207	0.9743589744
215	0.9702970297	0.2033751426	0.9392647186	0.9661016949	0.9827586207	0.9743589744
216	0.9735973597	0.2024430204	0.9459818138	0.9715909091	0.9827586207	0.9771428571
217	0.9735973597	0.2019304975	0.9459818138	0.9715909091	0.9827586207	0.9771428571
218	0.9735973597	0.2011669029	0.9459818138	0.9715909091	0.9827586207	0.9771428571
219	0.9735973597	0.2002885385	0.9459818138	0.9715909091	0.9827586207	0.9771428571
220	0.9735973597	0.1993438982	0.9459818138	0.9715909091	0.9827586207	0.9771428571
221	0.9735973597	0.198026643	0.9459818138	0.9715909091	0.9827586207	0.9771428571
222	0.9768976898	0.1968575803	0.9527276118	0.9771428571	0.9827586207	0.9799426934
223	0.9768976898	0.1959925491	0.9527276118	0.9771428571	0.9827586207	0.9799426934
224	0.9801980198	0.1957321087	0.9595028067	0.9827586207	0.9827586207	0.9827586207
225	0.9801980198	0.194935262	0.9595028067	0.9827586207	0.9827586207	0.9827586207
226	0.9801980198	0.194457655	0.9595028067	0.9827586207	0.9827586207	0.9827586207
227	0.9801980198	0.1938704464	0.9595028067	0.9827586207	0.9827586207	0.9827586207
228	0.9801980198	0.193701148	0.9595028067	0.9827586207	0.9827586207	0.9827586207
229	0.9801980198	0.1932604094	0.9595028067	0.9827586207	0.9827586207	0.9827586207
230	0.9801980198	0.193043376	0.9595028067	0.9827586207	0.9827586207	0.9827586207
231	0.9801980198	0.1929124076	0.9595028067	0.9827586207	0.9827586207	0.9827586207
232	0.9801980198	0.1924863445	0.9595028067	0.9827586207	0.9827586207	0.9827586207
233	0.9801980198	0.1908874242	0.9595028067	0.9827586207	0.9827586207	0.9827586207
234	0.9801980198	0.1897361384	0.9595028067	0.9827586207	0.9827586207	0.9827586207
235	0.9801980198	0.1888960958	0.9595028067	0.9827586207	0.9827586207	0.9827586207
236	0.9801980198	0.1885324467	0.9595028067	0.9827586207	0.9827586207	0.9827586207
237	0.9834983498	0.1884680752	0.9662405297	0.9828571429	0.9885057471	0.9856733524
238	0.9834983498	0.1878681254	0.9662405297	0.9828571429	0.9885057471	0.9856733524
239	0.9834983498	0.1875690995	0.9662405297	0.9828571429	0.9885057471	0.9856733524
240	0.9834983498	0.1860402818	0.9662405297	0.9828571429	0.9885057471	0.9856733524
241	0.9867986799	0.1857402265	0.9730018712	0.9885057471	0.9885057471	0.9885057471
242	0.9867986799	0.1856390945	0.9730018712	0.9885057471	0.9885057471	0.9885057471
243	0.9867986799	0.1847475865	0.9730018712	0.9885057471	0.9885057471	0.9885057471
244	0.9867986799	0.1846062166	0.9730018712	0.9885057471	0.9885057471	0.9885057471
245	0.9867986799	0.1829419983	0.9730018712	0.9885057471	0.9885057471	0.9885057471
246	0.9867986799	0.1820757378	0.9730018712	0.9885057471	0.9885057471	0.9885057471
247	0.9867986799	0.1810050112	0.9730018712	0.9885057471	0.9885057471	0.9885057471
248	0.9867986799	0.179876445	0.9730018712	0.9885057471	0.9885057471	0.9885057471
249	0.9867986799	0.1796167011	0.9730018712	0.9885057471	0.9885057471	0.9885057471
250	0.9867986799	0.1782963234	0.9730018712	0.9885057471	0.9885057471	0.9885057471
251	0.9867986799	0.1782372352	0.9730018712	0.9885057471	0.9885057471	0.9885057471
252	0.9867986799	0.1770522392	0.9730018712	0.9885057471	0.9885057471	0.9885057471
253	0.9867986799	0.176664594	0.9730018712	0.9885057471	0.9885057471	0.9885057471
254	0.9867986799	0.1765279168	0.9730018712	0.9885057471	0.9885057471	0.9885057471
255	0.9867986799	0.175782503	0.9730018712	0.9885057471	0.9885057471	0.9885057471
256	0.9867986799	0.1749027655	0.9730018712	0.9885057471	0.9885057471	0.9885057471
257	0.9867986799	0.1735297411	0.9730018712	0.9885057471	0.9885057471	0.9885057471
258	0.9867986799	0.172864925	0.9730018712	0.9885057471	0.9885057471	0.9885057471
259	0.9900990099	0.1719237222	0.9797939538	0.9942196532	0.9885057471	0.9913544669
260	0.9900990099	0.1713011312	0.9797939538	0.9942196532	0.9885057471	0.9913544669
261	0.9900990099	0.1703340303	0.9797939538	0.9942196532	0.9885057471	0.9913544669
262	0.9933993399	0.1698090962	0.9865009356	0.9942528736	0.9942528736	0.9942528736
263	0.9933993399	0.1695494755	0.9865009356	0.9942528736	0.9942528736	0.9942528736
264	0.9933993399	0.1689456187	0.9865009356	0.9942528736	0.9942528736	0.9942528736
265	0.9933993399	0.1679399149	0.9865009356	0.9942528736	0.9942528736	0.9942528736
266	0.99669967	0.1670135553	0.9932663656	0.9942857143	1	0.9971346705
267	0.99669967	0.1669031534	0.9932663656	0.9942857143	1	0.9971346705
268	0.99669967	0.1661259976	0.9932663656	0.9942857143	1	0.9971346705
269	0.99669967	0.1656786878	0.9932663656	0.9942857143	1	0.9971346705
270	0.99669967	0.1652041845	0.9932663656	0.9942857143	1	0.9971346705
271	0.99669967	0.1650920634	0.9932663656	0.9942857143	1	0.9971346705
272	0.99669967	0.1647718753	0.9932663656	0.9942857143	1	0.9971346705
273	0.99669967	0.1646616452	0.9932663656	0.9942857143	1	0.9971346705
274	0.99669967	0.1638460202	0.9932663656	0.9942857143	1	0.9971346705
275	0.99669967	0.1632873301	0.9932663656	0.9942857143	1	0.9971346705
276	0.99669967	0.161810866	0.9932663656	0.9942857143	1	0.9971346705
277	0.99669967	0.1609305931	0.9932663656	0.9942857143	1	0.9971346705
278	0.99669967	0.1603170418	0.9932663656	0.9942857143	1	0.9971346705
279	0.99669967	0.1598493437	0.9932663656	0.9942857143	1	0.9971346705
280	1	0.1586900191	1	1	1	1
281	1	0.1582401362	1	1	1	1
282	1	0.1567247726	1	1	1	1
283	1	0.1566228429	1	1	1	1
284	1	0.1558585854	1	1	1	1
285	1	0.1556308187	1	1	1	1
286	1	0.1555344886	1	1	1	1
287	1	0.1554286845	1	1	1	1
288	1	0.1550160125	1	1	1	1
289	1	0.1540370536	1	1	1	1
290	1	0.1532840779	1	1	1	1
291	1	0.1525406714	1	1	1	1
292	1	0.1520541134	1	1	1	1
293	1	0.151367441	1	1	1	1
294	1	0.1496742361	1	1	1	1
295	1	0.1485732244	1	1	1	1
296	1	0.148113106	1	1	1	1
297	1	0.1466339476	1	1	1	1
298	1	0.146479904	1	1	1	1
299	1	0.1458226634	1	1	1	1
